#,Time,fIdx,sIdx,sLen,fImg,cObj,cNam,cCon,tcBr,tcCo,tcUs,tcDs
1,,..\..\data\highreflection/frame000011.jpg,0,1,image0.jpg,0,Left_Indicator,0.3,0,3.0,-1,-1
2,,..\..\data\highreflection/frame000013.jpg,0,1,image0.jpg,3,Cruise_Control,0.35,0,2.8,-1,-1
3,,..\..\data\highreflection/frame000016.jpg,0,1,image0.jpg,3,Cruise_Control,0.26,0,2.8,-1,-1
4,,..\..\data\highreflection/frame000018.jpg,0,1,image0.jpg,3,Cruise_Control,0.38,0,2.8,-1,-1
5,,..\..\data\highreflection/frame000020.jpg,0,1,image0.jpg,3,Cruise_Control,0.38,0,2.8,-1,-1
6,,..\..\data\highreflection/frame000033.jpg,0,1,image0.jpg,3,Cruise_Control,0.28,0,2.8,-1,-1
7,,..\..\data\highreflection/frame000034.jpg,0,1,image0.jpg,3,Cruise_Control,0.37,0,2.8,-1,-1
8,,..\..\data\highreflection/frame000035.jpg,0,1,image0.jpg,3,Cruise_Control,0.42,0,2.8,-1,-1
9,,..\..\data\highreflection/frame000036.jpg,0,1,image0.jpg,3,Cruise_Control,0.3,0,2.8,-1,-1
10,,..\..\data\highreflection/frame000039.jpg,0,1,image0.jpg,3,Cruise_Control,0.31,0,2.8,-1,-1
11,,..\..\data\highreflection/frame000040.jpg,0,1,image0.jpg,3,Cruise_Control,0.43,0,2.8,-1,-1
12,,..\..\data\highreflection/frame000045.jpg,0,1,image0.jpg,3,Cruise_Control,0.33,0,2.8,-1,-1
13,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1,-1,-1
14,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.2,-1,-1
15,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.4,-1,-1
16,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.6,-1,-1
17,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.8,-1,-1
18,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.0,-1,-1
19,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.2,-1,-1
20,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.4,-1,-1
21,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.6,-1,-1
22,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,2.8,-1,-1
23,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,0,3.0,-1,-1
24,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
25,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1.2,-1,-1
26,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
27,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
28,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,0,1.8,-1,-1
29,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.73,0,2.0,-1,-1
30,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.61,0,2.2,-1,-1
31,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.52,0,2.4,-1,-1
32,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.47,0,2.6,-1,-1
33,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.44,0,2.8,-1,-1
34,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.42,0,3.0,-1,-1
35,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
36,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
37,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
38,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
39,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.8,-1,-1
40,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.77,0,2.0,-1,-1
41,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.71,0,2.2,-1,-1
42,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.65,0,2.4,-1,-1
43,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.6,0,2.6,-1,-1
44,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.55,0,2.8,-1,-1
45,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.52,0,3.0,-1,-1
46,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
47,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
48,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
49,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
50,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.8,-1,-1
51,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.77,0,2.0,-1,-1
52,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.7,0,2.2,-1,-1
53,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.61,0,2.4,-1,-1
54,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.53,0,2.6,-1,-1
55,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.45,0,2.8,-1,-1
56,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.42,0,3.0,-1,-1
57,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
58,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
59,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
60,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
61,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,1.8,-1,-1
62,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.75,0,2.0,-1,-1
63,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.66,0,2.2,-1,-1
64,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.57,0,2.4,-1,-1
65,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.52,0,2.6,-1,-1
66,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.47,0,2.8,-1,-1
67,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.43,0,3.0,-1,-1
68,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
69,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1.2,-1,-1
70,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1.4,-1,-1
71,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.6,-1,-1
72,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.8,-1,-1
73,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.0,-1,-1
74,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.74,0,2.2,-1,-1
75,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.69,0,2.4,-1,-1
76,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.65,0,2.6,-1,-1
77,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.6,0,2.8,-1,-1
78,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.57,0,3.0,-1,-1
79,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
80,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1.2,-1,-1
81,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1.4,-1,-1
82,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.6,-1,-1
83,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.8,-1,-1
84,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.0,-1,-1
85,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.75,0,2.2,-1,-1
86,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.69,0,2.4,-1,-1
87,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.65,0,2.6,-1,-1
88,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.61,0,2.8,-1,-1
89,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.56,0,3.0,-1,-1
90,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
91,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
92,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.4,-1,-1
93,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.6,-1,-1
94,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,0,1.8,-1,-1
95,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.75,0,2.0,-1,-1
96,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.64,0,2.2,-1,-1
97,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.56,0,2.4,-1,-1
98,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.52,0,2.6,-1,-1
99,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.51,0,2.8,-1,-1
100,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.49,0,3.0,-1,-1
101,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1,-1,-1
102,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1.2,-1,-1
103,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
104,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.6,-1,-1
105,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.8,-1,-1
106,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,2.0,-1,-1
107,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.72,0,2.2,-1,-1
108,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.65,0,2.4,-1,-1
109,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.58,0,2.6,-1,-1
110,,..\..\data\highreflection/frame000069.jpg,0,2,image0.jpg,1,Right_Indicator,0.53,0,2.8,-1,-1
111,,..\..\data\highreflection/frame000069.jpg,1,2,image0.jpg,3,Cruise_Control,0.49,0,2.8,-1,-1
112,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.47,0,3.0,-1,-1
113,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
114,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
115,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
116,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
117,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.8,-1,-1
118,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.77,0,2.0,-1,-1
119,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.69,0,2.2,-1,-1
120,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.63,0,2.4,-1,-1
121,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.57,0,2.6,-1,-1
122,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.5,0,2.8,-1,-1
123,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.45,0,3.0,-1,-1
124,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1,-1,-1
125,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.2,-1,-1
126,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.4,-1,-1
127,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.6,-1,-1
128,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.8,-1,-1
129,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.0,-1,-1
130,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.2,-1,-1
131,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.4,-1,-1
132,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,2.6,-1,-1
133,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,2.8,-1,-1
134,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,3.0,-1,-1
135,,..\..\data\highreflection/frame000072.jpg,0,1,image0.jpg,3,Cruise_Control,0.48,0,3.0,-1,-1
136,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
137,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
138,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
139,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.6,-1,-1
140,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.8,-1,-1
141,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,2.0,-1,-1
142,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,2.2,-1,-1
143,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,0,2.4,-1,-1
144,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.76,0,2.6,-1,-1
145,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.73,0,2.8,-1,-1
146,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.68,0,3.0,-1,-1
147,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
148,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
149,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
150,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
151,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.8,-1,-1
152,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,0,2.0,-1,-1
153,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.72,0,2.2,-1,-1
154,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.63,0,2.4,-1,-1
155,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.57,0,2.6,-1,-1
156,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.55,0,2.8,-1,-1
157,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.54,0,3.0,-1,-1
158,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
159,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.2,-1,-1
160,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.4,-1,-1
161,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.6,-1,-1
162,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.77,0,1.8,-1,-1
163,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.72,0,2.0,-1,-1
164,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.6,0,2.2,-1,-1
165,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.51,0,2.4,-1,-1
166,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.49,0,2.6,-1,-1
167,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.48,0,2.8,-1,-1
168,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.43,0,3.0,-1,-1
169,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1,-1,-1
170,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
171,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
172,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
173,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,1.8,-1,-1
174,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.75,0,2.0,-1,-1
175,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.64,0,2.2,-1,-1
176,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.49,0,2.4,-1,-1
177,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.43,0,2.6,-1,-1
178,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.38,0,2.8,-1,-1
179,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.32,0,3.0,-1,-1
180,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
181,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
182,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.4,-1,-1
183,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.6,-1,-1
184,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.77,0,1.8,-1,-1
185,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.72,0,2.0,-1,-1
186,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.58,0,2.2,-1,-1
187,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.43,0,2.4,-1,-1
188,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.34,0,2.6,-1,-1
189,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.28,0,2.8,-1,-1
190,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1,-1,-1
191,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.2,-1,-1
192,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.4,-1,-1
193,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,1.6,-1,-1
194,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.76,0,1.8,-1,-1
195,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.71,0,2.0,-1,-1
196,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.58,0,2.2,-1,-1
197,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.47,0,2.4,-1,-1
198,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.4,0,2.6,-1,-1
199,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.39,0,2.8,-1,-1
200,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.38,0,3.0,-1,-1
201,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1,-1,-1
202,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
203,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
204,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
205,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,0,1.8,-1,-1
206,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.75,0,2.0,-1,-1
207,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.62,0,2.2,-1,-1
208,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.51,0,2.4,-1,-1
209,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.44,0,2.6,-1,-1
210,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.41,0,2.8,-1,-1
211,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.38,0,3.0,-1,-1
212,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
213,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.2,-1,-1
214,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1.4,-1,-1
215,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.6,-1,-1
216,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,0,1.8,-1,-1
217,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.73,0,2.0,-1,-1
218,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.6,0,2.2,-1,-1
219,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.46,0,2.4,-1,-1
220,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.4,0,2.6,-1,-1
221,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.37,0,2.8,-1,-1
222,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.32,0,3.0,-1,-1
223,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
224,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.2,-1,-1
225,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1.4,-1,-1
226,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1.6,-1,-1
227,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.77,0,1.8,-1,-1
228,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.72,0,2.0,-1,-1
229,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.6,0,2.2,-1,-1
230,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.49,0,2.4,-1,-1
231,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.45,0,2.6,-1,-1
232,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.42,0,2.8,-1,-1
233,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.39,0,3.0,-1,-1
